time;entire_import;current_block
2022-10-06T16:35Z;0:1;0:1
2022-10-06T16:35Z;0:3;0:1
2022-10-06T16:35Z;0:5;0:1
2022-10-06T16:35Z;0:7;0:1
2022-10-06T16:35Z;0:8;0:1
2022-10-06T16:35Z;0:10;0:1
2022-10-06T16:35Z;0:12;0:1
2022-10-06T16:35Z;0:14;0:1
2022-10-06T16:35Z;0:16;0:1
2022-10-06T16:35Z;0:18;0:1
2022-10-06T16:35Z;0:20;0:1
2022-10-06T16:35Z;0:22;0:1
2022-10-06T16:35Z;0:24;0:1
2022-10-06T16:35Z;0:25;0:1
2022-10-06T16:36Z;0:27;0:1
2022-10-06T16:36Z;0:29;0:1
2022-10-06T16:36Z;0:31;0:1
2022-10-06T16:36Z;0:33;0:1
2022-10-06T16:36Z;0:35;0:1
2022-10-06T16:36Z;0:37;0:1
2022-10-06T16:36Z;0:39;0:1
2022-10-06T16:36Z;0:41;0:1
2022-10-06T16:36Z;0:42;0:1
2022-10-06T16:36Z;0:44;0:1
2022-10-06T16:36Z;0:46;0:1
2022-10-06T16:36Z;0:48;0:1
2022-10-06T16:36Z;0:50;0:1
2022-10-06T16:36Z;0:52;0:1
2022-10-06T16:36Z;0:54;0:1
2022-10-06T16:36Z;0:56;0:1
2022-10-06T16:36Z;0:58;0:1
2022-10-06T16:36Z;0:59;0:1
2022-10-06T16:36Z;1:1;0:1
2022-10-06T16:36Z;1:3;0:1
2022-10-06T16:36Z;1:5;0:1
2022-10-06T16:36Z;1:7;0:1
2022-10-06T16:36Z;1:9;0:1
2022-10-06T16:36Z;1:11;0:1
2022-10-06T16:36Z;1:13;0:1
2022-10-06T16:36Z;1:15;0:1
2022-10-06T16:36Z;1:17;0:1
2022-10-06T16:36Z;1:19;0:1
2022-10-06T16:36Z;1:20;0:1
2022-10-06T16:36Z;1:22;0:1
2022-10-06T16:36Z;1:24;0:1
2022-10-06T16:36Z;1:26;0:1
2022-10-06T16:37Z;1:28;0:1
2022-10-06T16:37Z;1:30;0:1
2022-10-06T16:37Z;1:32;0:1
2022-10-06T16:37Z;1:34;0:1
2022-10-06T16:37Z;1:36;0:1
2022-10-06T16:37Z;1:38;0:1
2022-10-06T16:37Z;1:40;0:1
2022-10-06T16:37Z;1:41;0:1
2022-10-06T16:37Z;1:43;0:1
2022-10-06T16:37Z;1:48;0:4
2022-10-06T16:37Z;1:52;0:3
2022-10-06T16:37Z;1:55;0:3
2022-10-06T16:37Z;2:9;0:11
2022-10-06T16:37Z;2:20;0:10
2022-10-06T16:38Z;2:30;0:10
2022-10-06T16:38Z;2:43;0:12
2022-10-06T16:38Z;2:55;0:12
2022-10-06T16:38Z;3:7;0:12
2022-10-06T16:38Z;3:19;0:12
2022-10-06T16:39Z;3:31;0:12
2022-10-06T16:39Z;3:43;0:11
2022-10-06T16:39Z;3:55;0:11
2022-10-06T16:39Z;4:8;0:12
2022-10-06T16:39Z;4:20;0:12
2022-10-06T16:40Z;4:33;0:12
2022-10-06T16:40Z;4:46;0:12
2022-10-06T16:40Z;4:59;0:12
2022-10-06T16:40Z;5:11;0:12
2022-10-06T16:40Z;5:24;0:12
2022-10-06T16:41Z;5:37;0:12
2022-10-06T16:41Z;5:50;0:12
2022-10-06T16:41Z;6:2;0:12
2022-10-06T16:41Z;6:15;0:12
2022-10-06T16:42Z;6:27;0:12
2022-10-06T16:42Z;6:40;0:12
2022-10-06T16:42Z;6:52;0:12
2022-10-06T16:42Z;7:4;0:12
2022-10-06T16:42Z;7:16;0:12
2022-10-06T16:43Z;7:29;0:12
2022-10-06T16:43Z;7:41;0:12
2022-10-06T16:43Z;7:53;0:11
2022-10-06T16:43Z;8:5;0:12
2022-10-06T16:43Z;8:17;0:12
2022-10-06T16:44Z;8:29;0:12
2022-10-06T16:44Z;8:41;0:12
2022-10-06T16:44Z;8:53;0:12
2022-10-06T16:44Z;9:5;0:12
2022-10-06T16:44Z;9:18;0:12
2022-10-06T16:45Z;9:30;0:12
2022-10-06T16:45Z;9:42;0:12
2022-10-06T16:45Z;9:54;0:12
2022-10-06T16:45Z;10:7;0:12
2022-10-06T16:45Z;10:19;0:12
2022-10-06T16:46Z;10:31;0:11
2022-10-06T16:46Z;10:43;0:11
2022-10-06T16:46Z;10:55;0:12
2022-10-06T16:46Z;11:6;0:11
2022-10-06T16:46Z;11:18;0:11
2022-10-06T16:47Z;11:30;0:11
2022-10-06T16:47Z;11:42;0:11
2022-10-06T16:47Z;11:54;0:12
2022-10-06T16:47Z;12:6;0:12
2022-10-06T16:47Z;12:19;0:12
2022-10-06T16:48Z;12:32;0:12
2022-10-06T16:48Z;12:44;0:12
2022-10-06T16:48Z;12:57;0:12
2022-10-06T16:48Z;13:9;0:12
2022-10-06T16:48Z;13:22;0:12
2022-10-06T16:49Z;13:34;0:12
2022-10-06T16:49Z;13:47;0:12
